Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core2 Quad Q9450,732,52.1,5029,https://cpu.userbenchmark.com/SpeedTest/765/IntelR-CoreTM2-Quad--CPU---Q9450----266GHz
CPU,AD5500OKHJBOX,AMD,A8-5500 APU,733,52,9802,https://cpu.userbenchmark.com/SpeedTest/3432/AMD-A8-5500-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Core i7-3517U,734,52,8502,https://cpu.userbenchmark.com/SpeedTest/663/IntelR-CoreTM-i7-3517U-CPU---190GHz
CPU,AD5700OKHJBOX,AMD,A10-5700 APU (2012 D.Tr),735,51.9,6379,https://cpu.userbenchmark.com/AMD-A10-5700-APU-2012-DTr/Rating/2939
CPU,,Intel,Core i5-4210U,736,51.9,83930,https://cpu.userbenchmark.com/SpeedTest/12662/IntelR-CoreTM-i5-4210U-CPU---170GHz
CPU,AD789KXDJCHBX,AMD,A10-7890K APU (2014 D.Ka),737,51.9,6876,https://cpu.userbenchmark.com/SpeedTest/118648/AMD-A10-7890K-Radeon-R7-12-Compute-Cores-4C-8G
CPU,,Intel,Pentium G2030,738,51.9,18317,https://cpu.userbenchmark.com/SpeedTest/3273/IntelR-PentiumR-CPU-G2030---300GHz
CPU,,Intel,Core i3-3110M,739,51.8,35387,https://cpu.userbenchmark.com/SpeedTest/844/IntelR-CoreTM-i3-3110M-CPU---240GHz
CPU,,AMD,Ryzen 7 2700U,740,51.8,8209,https://cpu.userbenchmark.com/SpeedTest/432558/AMD-Ryzen-7-2700U-with-Radeon-Vega-Mobile-Gfx
CPU,,Intel,Core i3-6100U,741,51.7,25696,https://cpu.userbenchmark.com/SpeedTest/37381/IntelR-CoreTM-i3-6100U-CPU---230GHz
CPU,,Intel,Pentium G840,742,51.7,2474,https://cpu.userbenchmark.com/SpeedTest/3067/IntelR-PentiumR-CPU-G840---280GHz
CPU,,Intel,Core i7-4650U,743,51.7,4278,https://cpu.userbenchmark.com/SpeedTest/6364/IntelR-CoreTM-i7-4650U-CPU---170GHz
CPU,,Intel,Xeon E5504,744,51.6,482,https://cpu.userbenchmark.com/SpeedTest/6261/IntelR-XeonR-CPU-----------E5504----200GHz
CPU,BX80646G3220,Intel,Pentium G3220,745,51.6,18407,https://cpu.userbenchmark.com/Intel-Pentium-G3220/Rating/1967
CPU,,Intel,Core i7-3667U,746,51.6,3428,https://cpu.userbenchmark.com/SpeedTest/2815/IntelR-CoreTM-i7-3667U-CPU---200GHz
CPU,,Intel,Core i5-5300U,747,51.5,32775,https://cpu.userbenchmark.com/SpeedTest/16790/IntelR-CoreTM-i5-5300U-CPU---230GHz
CPU,,Intel,Core i5 680,748,51.5,764,https://cpu.userbenchmark.com/SpeedTest/3693/IntelR-CoreTM-i5-CPU---------680----360GHz
CPU,,Intel,Pentium G850,749,51.5,2655,https://cpu.userbenchmark.com/SpeedTest/2522/IntelR-PentiumR-CPU-G850---290GHz
CPU,,Intel,Pentium G645,750,51.4,5473,https://cpu.userbenchmark.com/SpeedTest/3264/IntelR-PentiumR-CPU-G645---290GHz
CPU,AD787KXDJCBOX,AMD,A10-7870K APU (2014 D.Ka),751,51.4,6821,https://cpu.userbenchmark.com/SpeedTest/29728/AMD-A10-7870K-Radeon-R7-12-Compute-Cores-4C-8G
CPU,,AMD,Phenom II X4 840,752,51.4,4585,https://cpu.userbenchmark.com/SpeedTest/3302/AMD-Phenomtm-II-X4-840-Processor
CPU,,Intel,Core i7-2677M,753,51.4,683,https://cpu.userbenchmark.com/SpeedTest/4939/IntelR-CoreTM-i7-2677M-CPU---180GHz
CPU,,Intel,Core i5-2415M,754,51.4,637,https://cpu.userbenchmark.com/SpeedTest/4223/IntelR-CoreTM-i5-2415M-CPU---230GHz
CPU,,Intel,Xeon E5430,755,51.3,1944,https://cpu.userbenchmark.com/SpeedTest/16038/IntelR-XeonR-CPU-----------E5430----266GHz
CPU,,Intel,Core2 Quad Q9500,756,51.2,4873,https://cpu.userbenchmark.com/SpeedTest/1778/IntelR-CoreTM2-Quad-CPU----Q9500----283GHz
CPU,,AMD,Athlon II X4 641,757,51.2,1071,https://cpu.userbenchmark.com/SpeedTest/1698/AMD-Athlontm-II-X4-641-Quad-Core-Processor
CPU,,AMD,A8-7670K APU (2014 D.Ka),758,51.2,1704,https://cpu.userbenchmark.com/SpeedTest/37178/AMD-A8-7670K-Radeon-R7-10-Compute-Cores-4C-6G
CPU,,Intel,Core i7-2637M,759,51.2,591,https://cpu.userbenchmark.com/SpeedTest/5436/IntelR-CoreTM-i7-2637M-CPU---170GHz
CPU,AD860KXBJASBX,AMD,Athlon II X4 860K,760,51.2,27627,https://cpu.userbenchmark.com/AMD-Athlon-II-X4-860K/Rating/3265
CPU,,Intel,Core i5-3337U,761,51.1,31961,https://cpu.userbenchmark.com/SpeedTest/737/IntelR-CoreTM-i5-3337U-CPU---180GHz
CPU,,Intel,Pentium G2020,762,51,14898,https://cpu.userbenchmark.com/SpeedTest/3604/IntelR-PentiumR-CPU-G2020---290GHz
CPU,,Intel,Pentium G2010,763,50.9,3148,https://cpu.userbenchmark.com/SpeedTest/8691/IntelR-PentiumR-CPU-G2010---280GHz
CPU,,Intel,Core i5-4200U,764,50.9,58861,https://cpu.userbenchmark.com/Intel-Core-i5-4200U/Rating/2742
CPU,,Intel,Core2 Quad Q9400,765,50.9,21446,https://cpu.userbenchmark.com/SpeedTest/244/IntelR-CoreTM2-Quad-CPU----Q9400----266GHz
CPU,,Intel,Core i5-4250U,766,50.9,1715,https://cpu.userbenchmark.com/SpeedTest/1787/IntelR-CoreTM-i5-4250U-CPU---130GHz
CPU,,Intel,Core i3-7020U,767,50.9,29876,https://cpu.userbenchmark.com/SpeedTest/576199/IntelR-CoreTM-i3-7020U-CPU---230GHz
CPU,,Intel,Xeon E5462,768,50.8,642,https://cpu.userbenchmark.com/SpeedTest/16556/IntelR-XeonR-CPU-----------E5462----280GHz
CPU,,Intel,Core i7-4550U,769,50.8,311,https://cpu.userbenchmark.com/SpeedTest/6199/IntelR-CoreTM-i7-4550U-CPU---150GHz
CPU,AD785KXBJABOX,AMD,A10-7850K APU (2014 D.Ka),770,50.7,16833,https://cpu.userbenchmark.com/AMD-A10-7850K-APU-2014-DKa/Rating/2937
CPU,,Intel,Core2 Quad Q9505,771,50.7,2074,https://cpu.userbenchmark.com/SpeedTest/3041/IntelR-CoreTM2-Quad-CPU----Q9505----283GHz
CPU,,AMD,Phenom II X3 720,772,50.6,2517,https://cpu.userbenchmark.com/SpeedTest/326/AMD-Phenomtm-II-X3-720-Processor
CPU,AD880KXBJCSBX,AMD,Athlon X4 880K,773,50.5,8465,https://cpu.userbenchmark.com/SpeedTest/121029/AMD-Athlontm-X4-880K-Quad-Core-Processor
CPU,AD870KXBJCSBX,AMD,Athlon II X4 870K,774,50.5,2042,https://cpu.userbenchmark.com/SpeedTest/83847/AMD-Athlontm-X4-870K-Quad-Core-Processor
CPU,,Intel,Core2 Extreme Q6850,775,50.5,1055,https://cpu.userbenchmark.com/SpeedTest/7118/IntelR-CoreTM2-Extreme-CPU-Q6850----300GHz
CPU,,Intel,Xeon E7- 4870,776,50.4,39,https://cpu.userbenchmark.com/SpeedTest/8256/IntelR-XeonR-CPU-E7--4870----240GHz
CPU,,Intel,Core i5 K 655,777,50.4,388,https://cpu.userbenchmark.com/SpeedTest/9077/IntelR-CoreTM-i5-CPU-------K-655----320GHz
CPU,,Intel,Xeon W3505,778,50.3,731,https://cpu.userbenchmark.com/SpeedTest/12714/IntelR-XeonR-CPU-----------W3505----253GHz
CPU,BX80662G3900,Intel,Celeron G3900,779,50.3,6185,https://cpu.userbenchmark.com/SpeedTest/86156/IntelR-CeleronR-CPU-G3900---280GHz
CPU,,Intel,Core i3-2370M,780,50.3,10096,https://cpu.userbenchmark.com/SpeedTest/1959/IntelR-CoreTM-i3-2370M-CPU---240GHz
