Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,,Nvidia,GeForce 7300 GS,662,0.18,933,https://gpu.userbenchmark.com/SpeedTest/7782/NVIDIA-GeForce-7300-GS
GPU,,AMD,Radeon X1300,663,0.18,1423,https://gpu.userbenchmark.com/SpeedTest/9011/Radeon-X1300X1550-Series
GPU,,Nvidia,GeForce Go 7400,664,0.17,409,https://gpu.userbenchmark.com/SpeedTest/8618/NVIDIA-GeForce-Go-7400
GPU,,AMD,Radeon X1550,665,0.16,745,https://gpu.userbenchmark.com/SpeedTest/11538/Radeon-X1550-64-bit
GPU,,ATI,Mobility Radeon X2300,666,0.15,384,https://gpu.userbenchmark.com/SpeedTest/8306/ATI-Mobility-Radeon-X2300
GPU,,Nvidia,GeForce 7300 LE,667,0.15,1534,https://gpu.userbenchmark.com/SpeedTest/7971/NVIDIA-GeForce-7300-LE
GPU,,ATI,Mobility Radeon X1400,668,0.14,465,https://gpu.userbenchmark.com/SpeedTest/7829/ATI-Mobility-Radeon-X1400
GPU,,Nvidia,GeForce Go 7300,669,0.13,581,https://gpu.userbenchmark.com/SpeedTest/7778/NVIDIA-GeForce-Go-7300
GPU,,ATI,Mobility Radeon X1300,670,0.13,356,https://gpu.userbenchmark.com/SpeedTest/11505/ATI-Mobility-Radeon-X1300
GPU,,Nvidia,Quadro NVS 440,671,0.11,104,https://gpu.userbenchmark.com/SpeedTest/10103/NVIDIA-Quadro-NVS-440
GPU,,Nvidia,GeForce 7300 SE,672,0.09,1665,https://gpu.userbenchmark.com/SpeedTest/8767/NVIDIA-GeForce-7300-SE7200-GS
GPU,,Nvidia,GeForce 7100 GS,673,0.07,807,https://gpu.userbenchmark.com/SpeedTest/11594/NVIDIA-GeForce-7100-GS
GPU,,Nvidia,GeForce 7100 / nForce 630i,674,0.07,1214,https://gpu.userbenchmark.com/SpeedTest/8642/NVIDIA-GeForce-7100--NVIDIA-nForce-630i
GPU,,Nvidia,GeForce 6200,675,0.06,1746,https://gpu.userbenchmark.com/SpeedTest/9463/NVIDIA-GeForce-6200
GPU,,Nvidia,GeForce 7025 / nForce 630a,676,0.06,7638,https://gpu.userbenchmark.com/SpeedTest/9258/NVIDIA-GeForce-7025--NVIDIA-nForce-630a
GPU,,Nvidia,GeForce 6150,677,0.06,1027,https://gpu.userbenchmark.com/SpeedTest/10968/NVIDIA-GeForce-6150
GPU,,Nvidia,GeForce 6100,678,0.06,898,https://gpu.userbenchmark.com/SpeedTest/9213/NVIDIA-GeForce-6100
GPU,,Nvidia,GeForce 6150SE nForce 430,679,0.06,6447,https://gpu.userbenchmark.com/SpeedTest/7763/NVIDIA-GeForce-6150SE-nForce-430
GPU,,Nvidia,GeForce 7150M / nForce 630M,680,0.05,383,https://gpu.userbenchmark.com/SpeedTest/10312/NVIDIA-GeForce-7150M--nForce-630M
GPU,,Intel,Graphics Media Accelerator 3150,681,0,0,https://gpu.userbenchmark.com/SpeedTest/7678/IntelR-Graphics-Media-Accelerator-3150
